frame_index,timestamp,hash
0,0.0,82d12d8ba36ecdcc
1,0.04,82d12d8ba36e4fcc
2,0.08,82d12d8ba36e4fcc
3,0.13,82d12d8ba36e4fcc
4,0.17,82d12d8ba36e4fcc
5,0.21,82d12d8bb36e4dcc
6,0.25,82d12d8bb36e4dcc
7,0.29,82d12d8ba36ecdcc
8,0.33,82d12d8bb34ecdcc
9,0.38,82d12d8bb34ecdcc
10,0.42,82d12d8bb34ecdcc
11,0.46,82d12d8bb34ecdcc
12,0.5,82d12d8bb34ecdcc
13,0.54,82d12d8bb34ecdcc
14,0.58,82d12d8bb34ccfcc
15,0.63,82d12d8bb34ccfcc
16,0.67,82d12d8bb34ccfcc
17,0.71,82d12d8bb34ccfcc
18,0.75,82d12d8bb34ccfcc
19,0.79,82d12d8bb36ccecc
20,0.83,82d12d8bb36ccecc
21,0.88,80d12d8bb36ccfcc
22,0.92,80d12d8bb36ccfcc
23,0.96,80d12d8bb36ccfcc
24,1.0,80d12d8bb36ccfcc
25,1.04,82d12d8bb36ccecc
26,1.08,82d12d8bb36ccecc
27,1.13,82d12d8bb34ccfcc
28,1.17,82d12d8bb34ccfcc
29,1.21,82d12d8bb34ccfcc
30,1.25,80d12d8bb36ccfcc
31,1.29,80d12d8bb36ccfcc
32,1.33,80d12d8bb36ccfcc
33,1.38,80d12d8bb36ccfcc
34,1.42,80d12d8bb36e4fcc
35,1.46,80d12d8bb36e4fcc
36,1.5,80d12d8bbb6c4fcc
37,1.54,80d12d8bbb6c4fcc
38,1.58,80d12d8bbb6c4fcc
39,1.63,82d12d8bb36c4fcc
40,1.67,82d12d8bb36c4fcc
41,1.71,82d12d8bb36c4fcc
42,1.75,82d12d8ba36ccfcc
43,1.79,82d12d8ba36ccfcc
44,1.84,82d12d8ba36ccfcc
45,1.88,82d12d8bb36c4fcc
46,1.92,82d12d8bb36c4fcc
47,1.96,82d12d8bb36c4fcc
48,2.0,82d12d8bb36c4fcc
49,2.04,82d12d8bb36c4fcc
50,2.09,82d12d8bb36c4fcc
51,2.13,82d12d8bb36c4fcc
52,2.17,82d12d8bb36c4fcc
53,2.21,82d12d8bb36c4fcc
54,2.25,82d12d8bb36c4fcc
55,2.29,82d12d8bb36c4fcc
56,2.34,82d12d8bb36c4fcc
57,2.38,82d12d8bb36c4fcc
58,2.42,82d12d8bb36c4fcc
59,2.46,82d12d8ba36e4fcc
60,2.5,82d12d8ba36e4fcc
61,2.54,82d12d8ba36e4fcc
62,2.59,82d12d8ba36e4fcc
63,2.63,82d12d8ba36e4fcc
64,2.67,82d12d8ba36e4fcc
65,2.71,82d12d8bab6e47cc
66,2.75,82d12d8ba36e4fcc
67,2.79,82d12d8ba36e4fcc
68,2.84,82d12d8ba36e4fcc
69,2.88,82d12d8ba36e4fcc
70,2.92,82d12d8ba36e4fcc
71,2.96,82d12d8ba36e4fcc
72,3.0,82d12d8ba36e4fcc
73,3.04,82d12d8ba36e4fcc
74,3.09,82d12d8ba36e4fcc
75,3.13,82d12d8ba36ecdcc
76,3.17,82d12d8ba36ecdcc
77,3.21,82d12d8ba36ecdcc
78,3.25,82d12d8ba36ecdcc
79,3.29,82d12d8ba36ecdcc
80,3.34,82d12d8bb36ccdcc
81,3.38,82d12d8bb36ccdcc
82,3.42,82d12d8bb36ccdcc
83,3.46,82d12d8bb36ccdcc
84,3.5,82d12d8ba36ecdcc
85,3.55,82d12d8bab6e4dcc
86,3.59,82d12d8bab6e4dcc
87,3.63,82d12d8ba36ecdcc
88,3.67,82d12d8ba36ecdcc
89,3.71,82d12d8ba36ecdcc
90,3.75,82d12d8ba36ecdcc
91,3.8,82d12d8ba36ecdcc
92,3.84,82d12d8ba36ecdcc
93,3.88,82d12d8ba36ecdcc
94,3.92,82d12d8ba36ecdcc
95,3.96,82d12d8bab4ecdcc
96,4.0,82d12d8bab4ecdcc
97,4.05,82d12d8bab4ecdcc
98,4.09,82d12d8bab4ecdcc
99,4.13,82d12d8bab4ecdcc
100,4.17,82d12d8bab4ecdcc
101,4.21,82d12d8bab4ecdcc
102,4.25,82d12d8bab4ecdcc
103,4.3,82d12d8bab4ecdcc
104,4.34,82d12d8ba36ecdcc
105,4.38,82d12d8ba36ecdcc
106,4.42,82d12d8bab6e4dcc
107,4.46,82d12d8bab6e4dcc
108,4.5,82d12d8bab6e4dcc
109,4.55,82d12d8bab6e4dcc
110,4.59,82d12d8bab6e4dcc
111,4.63,82d12d8bab6e4dcc
112,4.67,82d12d8ba36ecdcc
